,A,prpR
SRX3686822,8.8486510543,3.0594199818
SRX3686820,6.9403119772,2.3131713304
SRX3686821,8.4684998943,2.9012484086
SRX3686743,-0.0219017773,-0.44503643870000004
SRX3686744,-0.0639834958,-0.3337728265
SRX3686745,0.1172676398,-0.1411808799
SRX3686772,-0.7004594353,-0.6725073395000001
SRX3686770,-0.7010289501,-0.337986285
SRX3686771,-1.0230630325,-0.6315982915
SRX3686794,-2.3858326987,-0.7490153343
SRX3686796,-1.4884716419,-0.647012071
SRX3686751,-0.5842799114,-0.496706815
SRX3686749,-0.8891741856,-0.5863339087
SRX3686750,-0.9039450101000001,-0.6401841897
SRX3686778,0.08520643300000001,-0.1613158151
SRX3686777,-0.0507533199,-0.44096280720000003
SRX3686776,-0.0491444117,-0.4539382416
SRX3686800,-0.638826462,-0.4660270309
SRX3686801,-0.8853502302,-0.5620054237000001
SRX3686755,3.5029296428,0.4832470378
SRX3686757,0.037081804600000004,-0.5602680798
SRX3686756,0.19792275210000002,-0.4060531747
SRX3686784,0.9846756360000001,-0.7125626743
SRX3686783,1.1422869781,-0.39631615880000004
SRX3686782,1.3593731225,-0.2898015796
SRX3686809,-0.3934105665,-0.6455856861
SRX3686807,-0.3730438391,-0.5923433386
SRX3686808,-0.0622406041,-0.4152869013
SRX3686787,6.6269286911,1.2828327052000001
SRX3686786,5.8938638422,0.9242150264000001
SRX3686785,5.6480803582,0.8740716663
SRX3686799,0.8470747818000001,-0.5268240963
SRX3686797,1.0709485319,-0.3948730211
SRX3686798,1.0507031067,-0.4294746883
SRX3686746,0.8939316114,-0.4392355355
SRX3686748,0.3382448012,-0.5827535087
SRX3686747,0.5480865934,-0.3841426147
SRX3686773,0.1074779431,-0.5342227873000001
SRX3686774,0.17625394760000002,-0.4623738519
SRX3686775,0.163045037,-0.6327567219
SRX3686754,2.1428618855,-0.0591708663
SRX3686753,2.4445246561,-0.0949013865
SRX3686752,1.7975434148,-0.1270848592
SRX3686780,3.9056446062,0.2767726935
SRX3686779,3.8536072017,0.44100396810000003
SRX3686781,4.3354522364,0.3225341256
SRX3686806,5.178866812,0.7838030776
SRX3686805,4.9660538767,0.6968447267
SRX3686758,0.7644407824,-0.6368572834
SRX3686760,-0.0493050244,-0.6921958335
SRX3686759,-0.0306145216,-0.789176357
SRX3686810,7.1041522142,1.5907147292000001
SRX3686811,7.730760923,1.7168486443000002
SRX3686812,7.6836023829,1.8077565753
SRX3686813,1.4814356522,-0.4041237695
SRX3686815,7.3663590089,2.0601672507
SRX3686816,6.9755208382,1.9778143351000002
SRX3686823,0.7293531766,-0.6980767233
SRX3686824,0.8546844785000001,-0.4144704373
SRX3686825,6.2837195105,1.1456160649
SRX3686827,7.1496615682,1.44995763
SRX3686826,7.1705870822,1.5081867909
SRX7054191,-0.0661602138,-0.2671943921
SRX7054189,0.23676731180000002,0.2614400267
SRX7054190,-0.1706070981,0.0057543654
SRX7054193,6.9500739873,4.3658265571
SRX7054192,9.8904180544,5.7514992112000005
SRX7054194,9.9325239578,5.8173377248
SRX4506284,6.1448967881,2.0459645966
SRX4506280,5.8659777727,1.779766428
SRX4506282,6.0092428252,2.0728698759
SRX4506278,6.1536657335000005,2.1346900387
SRX4506274,0.119749662,-0.1749380674
SRX4506273,-0.039110459,0.0723527804
SRX4506271,-0.0296620335,0.0550497374
SRX4506276,-0.0509771694,0.047535549600000004
SRX4506283,1.7349000776999999,0.0908027359
SRX4506279,1.5931529932,-0.1775978413
SRX4506285,1.8332807322,-0.08041358550000001
SRX4506281,1.7738584212,-0.0363204302
SRX4506275,2.5220249734999998,0.4389728822
SRX4506277,2.3616725688,0.3943850076
SRX4506272,2.5199244603,0.17523843790000002
SRX2923393,-0.2862793491,-0.1289335858
SRX2923394,0.2862793491,0.1289335858
SRX2923398,3.5000583901,1.397988672
SRX2923397,5.0018208782,1.9876215619000002
SRX2923395,4.8118375394,3.2029494403
SRX2923396,5.0703914653,3.29610071
SRX2923400,-4.8248875148,-3.1194022554
SRX2923401,-3.7313205225,-3.145640798
SRX2923403,0.4371987062,-0.8139835567
SRX2923402,0.2662468119,-2.0321221307
SRX6853288,-0.4798604011,-0.4366347788
SRX6853287,0.11418754140000001,0.08852138770000001
SRX6853286,0.1981549176,0.152500396
SRX6853284,0.238556378,0.1064631338
SRX6853285,-0.46985171880000004,-0.313460676
SRX6853283,0.23129534070000002,0.2069975423
SRX4319040,0.0864528903,0.1562221398
SRX4319041,0.0857217832,0.0032889353000000003
SRX4319039,-0.17217467350000001,-0.1595110751
SRX4314613,16.3410670066,5.0604412973
SRX4314614,13.955866138,4.2533791269
SRX4314615,16.5115929139,4.9368157816
SRX4314632,14.8480930021,4.9650503335
SRX4314631,14.6024756333,4.7814937833
SRX4314633,15.1044076808,5.1408006806
SRX4314622,16.8928817161,5.4293751166
SRX4314623,16.6605667567,5.4169448389
SRX4314624,16.871335134,5.3941835762
SRX4314611,0.0713153598,0.1313609506
SRX4314610,-0.029428966900000002,-0.3269150744
SRX4314612,-0.0418863929,0.1955541237
SRX4314630,0.7855683867000001,1.7717084416
SRX4314628,0.5493887704,1.6089612643
SRX4314629,0.7912017873,1.9247119922
SRX4314619,-0.8551063495000001,0.9109372588
SRX4314621,-0.1571519378,0.6036735336
SRX4314620,-0.9008903438,0.7164820695
SRX7119390,-0.1399185239,0.21494011170000002
SRX7119388,0.1399185239,-0.21494011170000002
SRX7119386,11.955318414,6.6411131364
SRX7119385,11.9802259359,6.6420626312
SRX7119387,12.3591847044,6.7775035844
SRX3746749,4.103062759,2.4525230167
SRX3746748,3.6520604136,2.0408439064
SRX3746751,2.0359419038,-1.2838197407
SRX3746750,0.9391343703,-0.4843042296
SRX3746752,-0.1133063245,0.0386514888
SRX3746753,1.1221038947,-0.7967727616
SRX3746755,-0.5045042187000001,-0.2057031469
SRX3746754,0.5045042187000001,0.2057031469
SRX2345943,0.4938829609,0.28984703230000003
SRX2345942,-0.4938829609,-0.28984703230000003
SRX2345941,1.3309109985,0.7600863698
SRX2345940,2.0897638665,0.9384167831
SRX3992217,0.6449432416,0.16314739050000002
SRX3992216,0.0878090462,-0.33127813780000004
SRX3992214,-2.9206733889,-0.0945067705
SRX3992215,-2.4921696121,0.0055394703
SRX3992221,-2.3431747842,0.053177734600000005
SRX3992220,-2.6628195673,-0.174321419
SRX3992219,2.2154380544,0.8078144973
SRX3992218,2.2305566004,0.822043327
SRX3992201,2.0377535901,0.8312962180000001
SRX3992200,2.6033223925,0.8812498044
SRX3992198,0.7126971282,0.150570209
SRX3992199,0.20233675550000002,-0.0622652979
SRX3992202,-0.0077984824,-0.2724969319
SRX3992203,0.0992124031,-0.1015139847
SRX3992204,-2.0187947707,-0.0259847264
SRX3992205,-1.8366393821,0.0399310311
SRX3992206,-2.2552851513,-0.1283374427
SRX3992207,-2.3322221048,-0.38860628220000004
SRX3992209,2.7693348968000002,1.06296835
SRX3992208,3.2314715699,1.4769758394
SRX3992212,3.299151105,1.3137233356
SRX3992213,2.8354173732,1.2464866891
SRX3992210,0.030599582700000003,-0.0047059530000000006
SRX3992211,-0.030599582700000003,0.0047059530000000006
SRX357084,-0.06572607750000001,-0.030989106800000003
SRX357083,0.06572607750000001,0.030989106800000003
SRX4647134,1.4609407761,1.3692976389
SRX4647137,0.3388311057,0.4027542917
SRX4647136,1.4341211838,1.1517480179
SRX4647135,1.3727796111,1.1839306408999999
SRX4647139,-0.0821754463,0.1997651701
SRX4647141,-0.2031568885,-0.2072014356
SRX4647140,0.039755499,0.0013114391
SRX4647138,0.2455768358,0.0061248263
SRX4647128,-0.5301868248,0.126708567
SRX4647127,-0.3570922348,0.3068065381
SRX4647129,-0.7565468039000001,0.3080497599
SRX4647126,-0.3829909071,0.392325519
SRX4647133,-0.3759093251,0.9938057873
SRX4647132,-1.0581671834,0.71012964
SRX4647131,-0.8448715737,0.6706543212
SRX4647130,-0.48998314330000003,0.7366287960000001
SRX6923924,0.6592206378000001,0.1529656905
SRX6923925,0.0693093598,0.2483728586
SRX6923923,7.2288374612,3.0883952686
SRX6923922,7.2520303642,3.3755373993
SRX6923939,0.061098025300000004,-0.0116053852
SRX6923938,-0.061098025300000004,0.0116053852
SRX6923936,6.5192235111,2.9289835255
SRX6923937,6.394476905,2.7942504398
SRX5509428,0.0018362611,0.0069357102
SRX5509427,-0.0018362611,-0.0069357102
SRX1882560,-2.9154048438,-0.9588861991000001
SRX1882558,-3.264022026,-0.9249146535
SRX1882559,-3.1214094073,-0.9382219264
SRX1882561,-1.0996656023,-0.3259761847
SRX1882563,-0.9704661356000001,-0.2808593759
SRX1882562,-1.0848622762,-0.3715748868
SRX1882565,-1.1200558032,-0.6113773534
SRX1882566,-1.188941747,-0.642250726
SRX1882564,-1.2030964046000001,-0.6045398329
SRX1882568,-2.6243767503,-0.855696541
SRX1882567,-2.590835844,-0.8893062185
SRX1882569,-2.4412137175,-0.8996256394000001
SRX1882555,0.0366915699,0.0277244986
SRX1882557,0.1478703827,-0.0055669498
SRX1882556,-0.1845619526,-0.0221575487
SRX5088615,11.8257267158,5.9246155981
SRX5088616,11.5223360789,6.0317895966
SRX6845150,4.3688556618,2.8406331796
SRX6845149,0.2727590815,1.2866872444
SRX6845151,11.664000636,4.6864308061
SRX6845152,6.3158191664,2.9646784677999998
SRX6845145,0.5078308493,0.8947102412
SRX6845146,-1.3205359689,0.8826666746
SRX6845142,0.6850875541,0.282901142
SRX6845141,0.5392536741,0.4011241159
SRX6845144,1.1564881223,-0.27195030540000004
SRX6845143,-1.1564881223,0.27195030540000004
SRX5605051,0.294275887,0.0207243462
SRX5605045,-0.294275887,-0.0207243462
SRX5605060,2.6399001362,0.8847365334
SRX5605059,2.1795196226,1.0025967288
SRX2382017,-0.1042458882,0.014113959
SRX2382024,0.1042458882,-0.014113959
SRX2382027,0.8681431957,0.2280454163
SRX2382029,-0.035762738700000005,-0.2984367227
SRX2382217,-1.4396033805,-0.5940202043
SRX2382023,-1.2186422819,-0.014292701500000001
SRX2382218,-0.19794921540000002,0.3555409165
SRX2382219,1.4217042955,0.3116685971
SRX2382213,-1.4161654365,-0.0069856895
SRX2382019,-1.1366490981,-0.0096806401
SRX2382214,2.1725084183,1.0426372638
SRX2382215,0.2519548512,-0.0563561013
SRX2382020,0.2386201909,1.2647976161
SRX2382216,0.0198773137,1.1400580686
SRX2382022,0.2022418326,0.0400916715
SRX2382033,0.8716902345,1.0929706497
SRX2382220,1.0204464531,2.3387817013
SRX2382222,0.8646982922,1.9940988726
SRX2382030,0.725293743,2.313177084
SRX4506350,0.059579501300000004,-0.0075170339
SRX4506352,0.2779234977,0.2105437199
SRX4506354,0.4742944047,0.20827508250000001
SRX4506348,0.114609869,0.1089790654
SRX4506346,-0.0704337383,-0.0202807779
SRX4506344,-0.0441761307,-0.0886982875
SRX4506351,-3.3679993706999998,-1.7922803364000002
SRX4506353,-3.0548767178,-1.5138647564999999
SRX4506355,-2.7456720812,-1.3633003381
SRX4506349,0.7218150670000001,-0.0017580135
SRX4506345,0.0312588722,-0.3759588989
SRX4506347,-0.0036377654,-0.3210801877
SRX4514122,1.947190806,1.0873419187
SRX4514124,-5.0901273121,-1.7621601423
SRX4514126,-5.311324785,-1.9019344099
SRX4514120,1.848937556,1.0874476135
SRX4514112,2.0379480251,1.1767284101
SRX4514116,-2.1043526536,-1.0019143015
SRX4514118,-2.1489067165,-1.3865806256
SRX4514114,2.215311345,1.211766517
SRX4514121,1.8422702502,1.0127299729
SRX4514125,-4.937340581,-1.6385469496
SRX4514127,-4.7884672661,-1.7714163481
SRX4514123,2.0795229444,1.0821664989
SRX4514115,2.0619225403,1.1188421688
SRX4514117,-2.2825155443,-1.1869471969
SRX4514113,2.1240298911,1.1918139451
SRX4514119,-2.2101838132,-1.0734984204
SRX958308,0.6002687433,0.3385040975
SRX958306,-0.0092987737,-0.0040634972
SRX958307,1.1663433587,0.9278247743
SRX958313,0.1049994082,-0.2135349416
SRX958312,0.1463988247,0.0559755544
SRX958314,-0.2513982329,0.1575593872
SRX958320,1.2635097217,1.7732415959
SRX958318,1.5399900851,1.7555606012
SRX958319,0.8065226932,1.6118645498
SRX958323,1.3154237141,0.8012364497000001
SRX958322,1.8218335307,1.4003375182
SRX958321,1.1747762124,1.1285934632
SRX958310,-2.5392093969,-0.440280494
SRX958309,-1.6260283678,0.1855132288
SRX958311,-2.0604810146,-0.278510209
SRX958317,6.6520382625,2.6284605281999998
SRX958315,6.701060841,2.9038939731
SRX958316,7.2754987333,3.0467804838
SRX958324,0.1687967537,1.1548897128
SRX958325,0.40741576500000004,1.3812380692000001
SRX4498322,0.06657623,-0.1712240316
SRX4498318,0.4396647124,0.24157042780000001
SRX4498320,0.0958320441,0.22228494910000002
SRX4498316,0.0854105809,0.2125594549
SRX4498312,-0.0429796883,-0.0443677073
SRX4498308,-0.032236739,0.015883621900000002
SRX4498314,0.0345625964,0.0495846455
SRX4498310,0.040653831,-0.021100560100000002
SRX4498319,3.2222257996,1.0177259282
SRX4498317,3.3509807626,0.9404574594
SRX4498311,-0.615176531,-1.1612380262
SRX4498315,-0.5022661859,-0.9407666678000001
SRX4498309,-0.47289307540000003,-0.9530315891000001
SRX4498313,-0.2836453194,-0.6615273994
SRX4615568,-0.2675509982,-0.45061063960000003
SRX4615570,0.2675509982,0.45061063960000003
SRX727246,-1.3337419216,-2.1679560697
SRX727243,-1.457157476,-1.9023262477
SRX727247,0.033434858000000005,-2.3878436909
SRX727244,-0.5985661475,-2.3502353723000002
SRX727245,0.2361578439,-2.387712302
SRX727248,0.7746760658,-2.3618087546
SRX727249,0.4581354557,0.2361147089
SRX727251,-0.39697434740000004,-0.1423908845
SRX727250,-0.061161108400000004,-0.0937238244
SRX4498332,-0.4524638635,0.1557021473
SRX4498334,-0.3519452644,-0.2156991664
SRX4498335,0.005974464400000001,0.1958939231
SRX4498337,-0.2237026537,-0.4305769629
SRX4498324,0.5761628824,-0.1156194319
SRX4498326,-0.5726108436,-0.2633949763
SRX4498328,0.177836352,0.4792553376
SRX4498330,-0.1813883908,-0.1002409294
SRX4498336,0.3816236803,1.3748102282
SRX4498333,-0.039727838,1.5618299033
SRX4498338,0.3658744681,1.5397724766
SRX4498329,2.7094433792,1.3688550881000001
SRX4498325,2.653064719,1.2738119551
SRX4498327,2.2461153442,1.34200254
SRX4498331,2.4470804078,1.1836308828
